Happy | Raise | Puffed
Happy | Raise | oo
Happy | Raise | mm
Happy | Raise | CHA
Happy | Raise | TH
Happy | Furrow | Puffed
Happy | Furrow | oo
Happy | Furrow | mm
Happy | Furrow | CHA
Happy | Furrow | TH
Happy | Shake | Puffed
Happy | Shake | oo
Happy | Shake | mm
Happy | Shake | CHA
Happy | Shake | TH
Sad | Raise | Puffed
Sad | Raise | oo
Sad | Raise | mm
Sad | Raise | CHA
Sad | Raise | TH
Sad | Furrow | Puffed
Sad | Furrow | oo
Sad | Furrow | mm
Sad | Furrow | CHA
Sad | Furrow | TH
Sad | Shake | Puffed
Sad | Shake | oo
Sad | Shake | mm
Sad | Shake | CHA
Sad | Shake | TH
Angry | Raise | Puffed
Angry | Raise | oo
Angry | Raise | mm
Angry | Raise | CHA
Angry | Raise | TH
Angry | Furrow | Puffed
Angry | Furrow | oo
Angry | Furrow | mm
Angry | Furrow | CHA
Angry | Furrow | TH
Angry | Shake | Puffed
Angry | Shake | oo
Angry | Shake | mm
Angry | Shake | CHA
Angry | Shake | TH
Terrified | Raise | Puffed
Terrified | Raise | oo
Terrified | Raise | mm
Terrified | Raise | CHA
Terrified | Raise | TH
Terrified | Furrow | Puffed
Terrified | Furrow | oo
Terrified | Furrow | mm
Terrified | Furrow | CHA
Terrified | Furrow | TH
Terrified | Shake | Puffed
Terrified | Shake | oo
Terrified | Shake | mm
Terrified | Shake | CHA
Terrified | Shake | TH
Disgusted | Raise | Puffed
Disgusted | Raise | oo
Disgusted | Raise | mm
Disgusted | Raise | CHA
Disgusted | Raise | TH
Disgusted | Furrow | Puffed
Disgusted | Furrow | oo
Disgusted | Furrow | mm
Disgusted | Furrow | CHA
Disgusted | Furrow | TH
Disgusted | Shake | Puffed
Disgusted | Shake | oo
Disgusted | Shake | mm
Disgusted | Shake | CHA
Disgusted | Shake | TH
Surprise | Raise | Puffed
Surprise | Raise | oo
Surprise | Raise | mm
Surprise | Raise | CHA
Surprise | Raise | TH
Surprise | Furrow | Puffed
Surprise | Furrow | oo
Surprise | Furrow | mm
Surprise | Furrow | CHA
Surprise | Furrow | TH
Surprise | Shake | Puffed
Surprise | Shake | oo
Surprise | Shake | mm
Surprise | Shake | CHA
Surprise | Shake | TH
