Emotion,Grammar,MouthMorpheme
Angry,Furrow,Puffed
Disgusted,Shake,Puffed
Terrified,Furrow,oo
Disgusted,Furrow,oo
Sad,Raise,TH
Happy,Raise,CHA
Angry,Shake,Puffed
Happy,Raise,oo
Disgusted,Raise,oo
Sad,Raise,mm
Disgusted,Shake,mm
Angry,Furrow,mm
Terrified,Shake,oo
Disgusted,Raise,TH
Happy,Furrow,oo
Happy,Shake,TH
Surprise,Shake,mm
Terrified,Shake,CHA
Happy,Raise,Puffed
Angry,Raise,CHA
Disgusted,Shake,oo
Surprise,Raise,oo
Surprise,Furrow,CHA
Terrified,Shake,Puffed
Sad,Raise,CHA
Happy,Furrow,Puffed
Sad,Shake,Puffed
Angry,Furrow,TH
Disgusted,Shake,TH
Terrified,Raise,TH
Surprise,Raise,mm
Angry,Raise,TH
Sad,Shake,CHA
Disgusted,Raise,mm
Terrified,Furrow,Puffed
Angry,Shake,oo
Disgusted,Raise,Puffed
Terrified,Raise,CHA
Disgusted,Raise,CHA
Surprise,Furrow,Puffed
Happy,Furrow,CHA
Terrified,Furrow,CHA
Surprise,Shake,CHA
Surprise,Shake,TH
Happy,Furrow,TH
Happy,Shake,oo
Surprise,Raise,CHA
Surprise,Furrow,TH
Surprise,Furrow,oo
Sad,Furrow,mm
Angry,Raise,mm
Disgusted,Furrow,TH
Sad,Shake,oo
Terrified,Shake,TH
Angry,Shake,CHA
Disgusted,Furrow,mm
Angry,Furrow,CHA
Angry,Raise,oo
Angry,Shake,mm
Sad,Furrow,TH
Terrified,Raise,oo
Sad,Furrow,Puffed
Disgusted,Furrow,CHA
Terrified,Furrow,TH
Sad,Shake,TH
Happy,Shake,Puffed
Terrified,Furrow,mm
Angry,Raise,Puffed
Surprise,Shake,Puffed
Disgusted,Shake,CHA
Happy,Raise,mm
Disgusted,Furrow,Puffed
Sad,Furrow,oo
Surprise,Shake,oo
Sad,Raise,Puffed
Terrified,Raise,mm
Terrified,Raise,Puffed
Surprise,Furrow,mm
Sad,Furrow,CHA
Angry,Shake,TH
Happy,Shake,mm
Surprise,Raise,Puffed
Happy,Raise,TH
Sad,Shake,mm
Angry,Furrow,oo
Happy,Shake,CHA
Terrified,Shake,mm
Sad,Raise,oo
Happy,Furrow,mm
Surprise,Raise,TH
