#,utterance_id,frame,manual_signs,non_manual_signs
1078832,8400279,110,,head pos: tilt fr/bk:slightly back
1078832,8400279,111,,head pos: tilt fr/bk:slightly back
1078832,8400279,112,,eye gaze:down;head pos: tilt fr/bk:slightly back
1078832,8400279,113,,eye gaze:down;head pos: tilt fr/bk:slightly back
1078832,8400279,114,,eye gaze:down;head pos: tilt fr/bk:slightly back
1078832,8400279,115,,eye aperture:lowered lid;eye gaze:down;head pos: tilt fr/bk:slightly back
1078832,8400279,116,,eye aperture:lowered lid;eye gaze:down;head pos: tilt fr/bk:slightly back
1078832,8400279,117,,eye aperture:lowered lid;head pos: tilt fr/bk:slightly back
1078832,8400279,118,,head pos: tilt fr/bk:slightly back;head pos: tilt side:slightly right
1078832,8400279,119,THIS,head pos: tilt fr/bk:slightly back;head pos: tilt side:slightly right;topic/focus:topic
1078832,8400279,120,,head pos: tilt fr/bk:slightly back;head pos: tilt side:slightly right;topic/focus:topic
1078832,8400279,121,,eye aperture:wide;head pos: tilt fr/bk:slightly back;head pos: tilt side:slightly right;topic/focus:topic
1078832,8400279,122,,eye aperture:wide;head pos: tilt fr/bk:slightly back;head pos: tilt side:slightly right;topic/focus:topic
1078832,8400279,123,,eye aperture:wide;head pos: tilt fr/bk:slightly back;head pos: tilt side:slightly right;topic/focus:topic
1078832,8400279,124,,eye aperture:wide;head pos: tilt fr/bk:slightly back;head pos: tilt side:slightly right;topic/focus:topic
1078832,8400279,125,,eye aperture:wide;head pos: tilt fr/bk:slightly back;head pos: tilt side:slightly right;topic/focus:topic
1078832,8400279,126,ARTICLE,eye aperture:wide;eye brows:raised;head pos: tilt side:slightly right;topic/focus:topic
1078832,8400279,127,ARTICLE,eye aperture:wide;eye brows:raised;head pos: tilt side:slightly right;topic/focus:topic
1078832,8400279,128,ARTICLE,eye aperture:wide;eye brows:raised;head pos: tilt side:slightly right;topic/focus:topic
