asl_gloss,count
IX-1p,841
IX-3p:i,690
part:indef,578
IX-loc:i,408
NOT,293
FRIEND,241
IF,215
IX-2p,204
FUTURE,171
POSS-1p,150
WHO,147
GO-OUT,147
HAVE,142
IX-3p:j,133
FINISH,129
(25)WHY,120
MUST,118
THAT,104
TEACHAGENT,100
CAR,100
MOTHER,98
WHEN,95
NOW,92
BUOY,92
5wave no,91
QMwg,90
ns-fs-JOHN,89
POSS-3p:i,88
WORK,88
DEAF,87
NO,81
NONE/NOTHING,81
ARRIVE,80
ns-fs-MARY,80
VOICE,76
WITH,75
FOR,75
REALLY,74
ns-fs-BOB,73
IN,72
PEOPLE,71
WHY,71
WHERE,71
MAKE,68
HOME,67
GROUP/TOGETHER,66
RAIN,65
GO,64
LIKE,63
MOTHERFATHER,60
BUY,60
WHAT,59
MEAN,58
IX-3p-pl-arc,58
LOOK,55
FATHER,55
TO/UNTIL,54
(P)PARTY,54
SCHOOL,53
TEND,52
REALLYWORK,52
PASTNIGHT,52
IX-loc:j,51
READ,50
WANTNEG,50
BOOK,48
DEPART,48
NOISE,47
GOOD/THANK-YOU,46
DO-DO,46
BUT,43
TIME,43
KNOW,43
DIFFERENT,42
CAN,42
fs-OF,41
OH-I-SEE,41
HOW,40
NICE/CLEAN,40
KISS-FIST,40
TOMORROW,38
PLAY,38
SAME,37
SO,37
START,37
AND,36
CANNOT,36
fs-LATE,36
EXPERIENCE,35
RECENT-PAST,35
PROCEED,35
SNOW,35
MANY,34
CULTURE,34
WOW,34
BREAK,34
HEAR,34
POSS-2p,34
NOT-YET,34
LOOK:j,33
TAKE-UP,33
DRIVE,33
FAMILY,32
HOMEWORK,32
PERSON,31
SISTER,31
WANT_2,30
ns-BOSTON,30
fs-BEACH,30
CANCEL/CRITICIZE,30
BREAK-DOWN,30
MAYBE,29
5wow,29
EAT,29
TALKwg,28
TALK,28
VISUALIZE,28
KNOWNEG,28
WANT,28
FINE,27
CLASS_2,27
THINK,27
WOW/AWFUL,27
LOVE,27
PINEAPPLE,27
ON,26
FROM,26
ONE,26
SICK,26
IX-3p-pl-2:i/j,26
REFUSE,26
SURPRISE,26
TWO,25
ABOUT,25
SELL,25
USE_2,24
KIND,24
FIND/FIND-OUT,24
BICYCLE,24
CLASS_2BOX/ROOM,24
INTERPRET,23
SHOW,23
STUDY,23
DECIDE,23
NAME,23
PHONE,23
ENTER,23
HAPPEN,23
OTHER,23
STUDENT,23
(5)MAN,23
KID,23
(F)BELONG,22
MORE,22
SET-UP,22
A-LOT,22
SEE,22
SOMETHING/ONE,22
JOIN,22
VOMIT/HATE,22
EATNIGHT,22
1focus,21
OFTEN,21
5whoa,21
HERE,21
GUARANTEE,21
PIZZA_4,21
NIGHT,21
MANAGE/CONTROL,20
HEARING,20
ACCEPT,20
TOILET,20
STAY,20
FAVORITE/PREFER,20
TRIP,20
CHEESE,20
FEEL,19
MOVIE,19
GET,19
(K)KITCHEN,19
HORSE,19
NEW,19
alt.FIRE,19
fs-CREAM,19
LEARN,18
ALSO,18
LONG-AGO,18
fs-GRUNT,18
DRESS/CLOTHES,18
DOG_2,18
EACHONE,18
STORY,17
INCLUDE/INVOLVE,17
BIG,17
TEST,17
REASON,17
ACT,17
PLACE,17
ACTION,17
ENJOY,17
COMMUTE,17
SHOULD,17
(Y)YESTERDAY,17
QUOTE/TOPIC,16
DISCUSS,16
LOOK-OVER,16
SELF-3p:i,16
DIRECT/EXPLAIN,16
GROW-UP,16
VOICE-RANGE,16
HAPPY,16
HOUSE,16
BORN,16
WIN,16
PLAY-continuative,16
(P)PAY,16
DOG,16
BOY,16
(flat-O)PAY/SPEND,16
SOME,15
STILL,15
NEVER,15
MEET,15
IDENTIFY,15
fs-SPEECH,15
YEAR,15
PRESIDENT,15
WHICH,15
VACATION,15
(nd-1)MOVIE,15
fs-PARK,15
WIFE,15
INTERNET,15
VIDEO-GAME,15
CHAT,15
fs-ORIENTATION,14
COOPERATE/UNITE,14
AREA,14
FACE,14
BEAUTIFUL,14
GAME,14
CORRECT,14
CHILDREN,14
MOVE,14
STRANGE,14
SOON,14
CHOCOLATE,14
SORRY,14
ALWAYS,14
SMALL,14
fs-CREAMCHEESE,14
AUNT,14
FARM,14
FRISBEE,14
PO,14
OR,13
QUIET,13
SCREAM,13
INFORM,13
OK,13
SAY,13
HS,13
BORE,13
WRONG,13
(L)LIVE,13
PAST,13
ns-fs-JACK,13
MOVIE_2,13
HOT,13
(G/Q)POSS-1p,13
SWIM,13
FORGET-IT,13
CAMP,13
