#,utterance_id,translation,asl_gloss,negative,wh_question,yes_no_question,topic_focus,conditional_when,role_shift,head_pos_tilt_fr_bk,head_pos_turn,head_pose_tilt_side,head_pose_jut,head_mvmt_nod,head_mvmt_nod_cycles,head_mvmt_shake,head_mvmt_side_to_side,head_mvmt_jut,body_lean,shoulders,face_eye_brows,face_eye_gaze,face_eye_aperture,face_nose,face_mouth,face_cheeks
1379836,58733328,"If you win the lottery, we are going to Jamaica.",#IF;IX-2p;WIN;fs-LOTTERY;IX-1p-2p;DEPART;ns-JAMAICA,,,,,,,front;slightly back;slightly front,slightly right;slightly left,slightly right;slightly right;slightly left;right;slightly right;right;slightly right,slightly back;forward;forward,slight rapid head nod,,rapid;slight rapid head shake;single,,,,,slightly lowered;raised;slightly raised;raised;slightly raised,,further lowered;slightly wide;slightly squinted;blink;wider;wide,,bite lower lip;lips spread;lips spread & crnrs down,
1379836,58734613,"If I don't study, I am guaranteed to fail.",#IF+;IX-1p;NOT;STUDY+;IX-1p;GUARANTEE;FAIL;IX-1p,negation,,,,,,slightly back,,slightly right;slightly right;slightly left,slightly back,,,slow;single,,,,,raised-furrowed;slightly raised,,squint;slightly squinted;blink;slightly lowered;blink,wrinkle,bite lower lip;open & tongue visible,
1379836,58734119,Who bought flowers?,WHO;BUY;FLOWER;(1h)part:indef,,whq,,,,,slightly back,slightly left;slightly left,slightly right;slightly right;slightly right,forward,,,single;slight rapid head shake,,,,,lowered,,squint;slightly squinted,wrinkle right,lips pursed: oo,
1379836,58733625,"When it's near the end of the semester, it's impossible to hang out.",NEAR+;LAST;SEMESTER;IX-1p;(5)SOCIAL/INTERACT;IMPOSSIBLE+++,negation,,,topic,,,back,slightly left;right;left,slightly right;slightly left;slightly left,back;forward,,,rapid,,,,,raised;slightly lowered,,slightly squinted;wide;slightly wide;blink;slightly wide,,intense;tongue out;tongue out,puffed
1379836,58734415,He will buy flowers for sure.,"(1h)5""whoa"";IX-3p:i;FUTURE;BUY;FLOWER;FOR;REALLY;IX-3p:j",,,,,,,slightly back;slightly front;slightly back,right;right;slightly right,slightly left;slightly left;slightly right;slightly right,slightly back;forward,,,single;slight rapid head shake,,,,,slightly lowered,other;down/left,lowered lid;blink;slightly lowered;closed;slightly lowered,,right tense;sh,
1379836,58733921,I don't even have one dollar!,ONE-DOLLAR++;IX-1p;NONE/NOTHING;IX-1p;part:indef;(1h)part:indef,,,,topic,,,slightly front;front;slightly back,slightly left,slightly right;right,slightly back;slightly forward;further back;forward,,,slight rapid head shake,,,,,raised-furrowed;slightly lowered;right raised/left furrowed,,further squinted;slightly wide,,lips spread & crnrs up;smile mouth open;lips pursed: oo;lips spread,puffed
1379836,5873519,It's raining and it's impossible to find an umbrella.,HAPPEN;RAIN++;IX-1p;IMPOSSIBLE+;FIND/FIND-OUT;UMBRELLA;(1h)part:indef,,,,,,,back;slightly front,right,left;right;slightly right,forward,,,single,,,,,raised,up/right,wide;blink;lowered lid;blink;lowered lid;blink,,right tense;open & tongue visible;lips spread;open & tongue visible,
1379836,58733427,I wish John and Mary will stop being in a relationship after seeing John play with her.,IX-1p;LOOK;ns-fs-JOHN;MANIPULATE+;ns-fs-MARY;IX-1p;(1h)ANGRY;HUNGRY/WISH;IX-3p-pl-2:i/j;RELATIONSHIP-OFF,negation;negation,,,,,,slightly front;back,right;right,slightly left;slightly left;slightly right;slightly left;left;slightly left,forward;forward;slightly back;slightly back,,,rapid,,,,,slightly raised;slightly lowered,other;other;other;other,slightly wide;further lowered;lowered lid,,tongue out;open & tense;bite lower lip,
1379836,58734712,"If I don't study, I am guaranteed to fail.",IF+;IX-1p;NOT;STUDY+;IX-1p;GUARANTEE;FAIL;IX-1p,negation,,,,,,slightly front;slightly front;slightly front;slightly back,slightly right,right;slightly left;slightly right;slightly left,back;slightly back,,,slow;single,,,,,raised;slightly lowered,,slightly wide;blink;squint;blink;further squinted;blink;slightly wide;slightly lowered;blink;slightly lowered;blink;slightly lowered,wrinkle,bite lower lip;open & tongue visible,
1379836,5873528,There's always a pop quiz when I neglect my studying.,IX-1p;(1h)FORGET-IT;STUDY+;ALWAYS;HIT;fs-POP;#QUIZ;SICK/SILLY;(1h)part:indef,,,,,,,slightly back;slightly back,slightly right;slightly left;slightly left;slightly left,slightly left;slightly right;slightly right;right,slightly back;forward;slightly forward,,,rapid,,,,,slightly raised;slightly lowered,,blink;lowered lid;blink;lowered lid;blink;slightly wide;slightly lowered;blink,,tongue out;open & tongue visible;open & corners down;lips pursed: oo;open,
