word,count
the,1281
to,755
i,661
a,487
is,431
and,348
my,321
if,296
you,279
it,267
that,253
will,240
of,238
he,219
in,193
was,191
when,187
have,178
because,164
no,149
did,148
they,148
are,146
for,140
not,140
friend,137
who,136
be,129
at,120
its,117
on,116
there,115
out,114
deaf,112
with,110
people,109
go,106
friends,104
do,98
like,96
what,91
john,90
so,86
car,85
dont,81
has,80
but,78
their,78
voice,77
mary,74
going,73
his,73
she,71
bob,71
didnt,69
home,68
work,66
person,62
school,62
me,61
does,61
her,59
where,59
im,59
how,55
now,55
buy,54
an,54
your,54
would,54
different,54
can,54
mother,54
all,54
party,54
we,52
up,52
night,52
want,51
from,50
mom,49
father,49
good,49
know,48
them,47
why,46
as,46
last,46
time,45
teacher,45
speech,45
late,43
went,42
really,42
doesnt,41
just,41
one,40
book,40
or,40
heshe,40
then,39
about,39
many,39
parents,38
make,38
him,37
family,37
read,36
two,36
tomorrow,35
theres,34
isnt,34
movie,34
had,34
arrived,34
loves,34
sister,33
cream,33
together,33
this,32
noises,31
by,31
boston,31
get,30
cant,30
raining,29
wont,29
cheese,29
play,28
hearing,28
making,28
were,28
here,28
sick,28
big,28
homework,27
pineapple,27
down,27
goes,27
lot,27
range,26
beach,26
group,26
cancelled,26
love,26
new,26
class,25
give,25
broken,25
am,24
over,24
arrive,24
store,24
pizza,24
see,24
start,24
video,24
move,24
weather,23
man,23
outside,23
wow,23
next,23
dog,23
today,22
noise,22
wants,22
fine,21
thats,21
water,21
need,21
more,21
think,21
even,20
money,20
experience,20
wasnt,20
told,20
which,20
playing,20
should,20
watch,20
stay,20
high,20
game,20
yesterday,20
bought,19
bathroom,19
those,19
some,19
used,19
house,19
often,19
kitchen,19
use,19
break,19
talking,19
means,19
sure,18
tend,18
example,18
already,18
tell,18
day,18
must,18
something,18
same,17
still,17
said,17
while,17
reading,17
boy,17
clean,17
ill,17
broke,17
office,17
yet,17
students,17
test,17
right,17
take,16
around,16
long,16
join,16
other,16
year,16
walk,16
small,16
snows,16
rain,16
rent,16
clothes,16
study,15
eat,15
any,15
likes,15
control,15
experiences,15
got,15
phone,15
decided,15
sound,15
park,15
snow,15
surprise,15
pay,15
driving,15
drive,15
fishing,15
job,15
fireworks,15
bike,15
wrong,14
chocolate,14
beautiful,14
every,14
years,14
found,14
only,14
made,14
related,14
kids,14
arrives,14
dinner,14
leave,14
rains,14
hes,14
president,14
internet,14
post,14
birthday,14
orientation,14
week,14
after,13
always,13
very,13
loud,13
someone,13
look,13
own,13
well,13
cultural,13
oh,13
into,13
again,13
kind,13
puppies,13
camping,13
children,13
starts,13
everyone,13
shirt,13
directions,13
frisbee,13
talk,13
things,13
classroom,13
identity,13
name,13
jack,13
cereal,12
language,12
left,12
been,12
library,12
list,12
another,12
makes,12
back,12
too,12
finish,12
never,12
through,12
letter,12
games,12
off,12
san,12
diego,12
sale,12
vacation,12
bride,12
groom,12
commute,12
aunt,12
bad,12
hot,12
warm,12
wanted,12
child,12
maybe,12
idea,12
find,11
stop,11
culture,11
looked,11
much,11
theyre,11
theater,11
us,11
started,11
realize,11
cleaning,11
obama,11
tends,11
hair,11
finished,11
soon,11
before,11
youre,11
movies,11
plaid,11
hasnt,11
gone,11
bbq,11
sent,11
wedding,11
baby,11
headband,11
ask,11
care,11
books,11
character,11
key,11
sorry,11
butter,11
born,11
anything,11
lousy,10
dad,10
happens,10
acceptable,10
hear,10
fire,10
signing,10
laugh,10
looks,10
fast,10
than,10
pass,10
tubing,10
shorts,10
usually,10
world,10
grunt,10
cat,10
yes,9
waste,9
horse,9
until,9
based,9
itself,9
say,9
early,9
sounds,9
food,9
happy,9
played,9
working,9
boring,9
hate,9
ahead,9
horses,9
dance,9
enjoy,9
havent,9
lawn,9
passed,9
wife,9
may,9
probably,9
interpreter,9
set,9
grunts,9
funny,9
better,9
shoes,9
student,9
box,9
six,9
fail,8
flowers,8
being,8
prefer,8
lox,8
came,8
places,8
gave,8
thought,8
old,8
cannot,8
place,8
whats,8
surprised,8
hard,8
way,8
met,8
learn,8
help,8
swimming,8
needs,8
upset,8
looking,8
bicycle,8
travelling,8
farm,8
donna,8
jessica,8
hates,8
pie,8
moved,8
cold,8
listen,8
gives,8
gets,8
strange,8
whether,8
speak,8
imagine,8
york,8
meaning,8
hit,8
three,8
cars,8
proctor,8
win,7
word,7
anymore,7
surprises,7
shocked,7
grew,7
come,7
later,7
saw,7
asked,7
quiet,7
ago,7
actually,7
once,7
girlfriend,7
realized,7
bill,7
lived,7
tonight,7
adopt,7
bald,7
milk,7
order,7
cookies,7
adopted,7
recently,7
arent,7
event,7
king,7
trip,7
window,7
communication,7
graduate,7
planning,7
surfing,7
accident,7
boss,7
drives,7
fish,7
asking,7
meet,7
mow,7
coming,7
crashed,7
drunk,7
everyday,7
expensive,7
normal,7
also,7
important,7
works,7
sensory,7
groups,7
believe,7
truck,7
studies,7
figure,7
first,7
sat,7
knows,7
sue,7
bring,7
glass,7
guaranteed,6
umbrella,6
quiz,6
away,6
vegetarian,6
both,6
great,6
sign,6
expectations,6
having,6
various,6
scream,6
others,6
enter,6
coda,6
woman,6
could,6
sometimes,6
stories,6
ran,6
mean,6
shows,6
football,6
college,6
during,6
walked,6
feel,6
twenty,6
dollars,6
dye,6
our,6
angry,6
missed,6
morning,6
using,6
finishes,6
tired,6
okay,6
watching,6
ive,6
room,6
blueberry,6
invited,6
took,6
host,6
roses,6
moving,6
drank,6
exam,6
paper,6
speaking,6
these,6
basically,6
interpret,6
discuss,6
role,6
marys,6
decide,6
disorders,6
between,6
concept,6
live,6
mind,6
information,6
tall,6
trying,6
vocal,6
professionals,6
run,6
black,6
rained,6
seven,6
cough,6
intervention,6
mentor,6
lottery,5
near,5
pop,5
growing,5
emit,5
running,5
loudly,5
share,5
voices,5
without,5
slowly,5
cultures,5
definitely,5
let,5
kid,5
cool,5
expert,5
cleans,5
continue,5
rowing,5
chicago,5
wake,5
send,5
mac,5
peoples,5
report,5
plan,5
owns,5
prefers,5
enjoyed,5
keep,5
city,5
associated,5
almost,5
wonder,5
bit,5
nasal,5
quality,5
such,5
famous,5
heavy,5
within,5
match,5
train,5
system,5
social,5
might,5
meeting,5
short,5
tennis,5
grunting,5
situation,5
men,5
call,5
each,5
category,5
comes,5
red,5
brother,5
table,5
weird,5
himher,5
progress,5
seem,5
eats,5
won,5
second,5
missing,5
show,5
inside,5
baseball,5
involved,5
rochester,5
humming,5
end,4
impossible,4
studying,4
bored,4
bagel,4
kinds,4
above,4
awful,4
permitted,4
since,4
testimonies,4
meant,4
thing,4
ready,4
heard,4
informed,4
