asl_gloss,count,raised,lowered,slightly lowered,slightly raised,raised-furrowed,further raised,further lowered,right raised/left furrowed,left raised/right furrowed,left raised/right lowered,further raised-furrowed
IX-1p,837,545,297,314,309,155,126,88,9,3,0,0
IX-3p:i,664,482,251,241,238,175,134,124,3,1,3,0
part:indef,500,285,186,192,125,143,121,58,2,4,0,0
IX-loc:i,399,311,146,133,156,66,83,48,2,0,1,0
NOT,289,185,131,100,80,62,33,42,0,2,0,0
FRIEND,241,173,80,85,117,36,23,17,2,0,0,0
IF,215,155,95,90,85,75,46,26,1,2,0,0
IX-2p,203,129,84,50,38,35,43,35,0,0,0,0
FUTURE,171,120,60,73,62,46,45,18,0,1,1,0
POSS-1p,150,126,77,68,85,21,20,21,3,0,0,0
WHO,146,48,94,52,23,21,11,24,0,0,1,0
GO-OUT,146,106,49,35,46,13,19,22,0,0,1,0
HAVE,141,81,56,48,33,50,26,39,0,1,0,0
FINISH,127,92,43,33,38,29,21,12,0,0,0,0
(25)WHY,120,126,52,45,84,10,8,15,1,0,0,0
IX-3p:j,117,79,51,45,45,33,20,24,2,0,0,0
MUST,117,87,53,41,55,39,20,16,1,1,0,0
THAT,102,56,33,25,29,58,29,18,0,0,1,0
CAR,100,76,39,45,24,5,11,12,0,2,0,0
TEACHAGENT,100,82,50,34,28,16,2,2,2,0,0,0
MOTHER,98,68,31,17,25,22,28,13,0,1,0,0
WHEN,95,79,40,25,29,16,15,6,0,0,0,0
NOW,91,52,28,29,25,18,12,11,0,0,1,0
5wave no,90,68,41,17,25,25,33,26,0,0,0,0
QMwg,90,66,16,8,26,24,24,3,1,0,0,0
ns-fs-JOHN,89,70,32,24,21,8,7,11,1,0,0,0
WORK,88,56,35,39,40,12,6,3,0,0,0,0
DEAF,87,56,25,18,24,71,42,12,1,0,0,0
POSS-3p:i,87,49,28,17,33,48,21,12,0,0,0,0
NONE/NOTHING,81,48,25,35,18,9,6,14,1,1,0,0
NO,81,42,36,29,13,13,8,34,0,0,0,0
ns-fs-MARY,80,54,28,26,22,5,15,5,0,0,0,0
ARRIVE,80,58,29,19,19,19,21,5,0,0,0,0
FOR,75,53,19,17,20,28,17,11,0,0,0,0
WITH,75,37,27,19,27,35,28,9,0,0,0,0
